geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Maryland,All,2009-10,201030,,,64,823,7.776427704,98.79384516
State,,Iowa,All,2009-10,201028,,,29,495,5.858585859,92.73734503
State,,New Mexico,All,2009-10,201017,,,18,256,7.03125,82.80045808
State,,Colorado,All,2009-10,201011,,,46,591,7.783417936,96.43894441
State,,Washington,All,2009-10,200944,,,86,925,9.297297297,98.88645641
State,,Indiana,All,2009-10,200943,,,77,1121,6.868867083,102.2073996
State,,North Dakota,All,2009-10,201011,,,16,118,13.55932203,103.6697633
State,,Utah,All,2009-10,201023,,,22,268,8.208955224,93.84288036
State,,South Dakota,All,2009-10,201014,,,11,138,7.971014493,100.7862459
State,,Illinois,All,2009-10,200940,,,145,1958,7.405515833,101.4351861
Region,4,,All,2009-10,200949,5,836,841,10741,7.829811005,103.0877146
Region,9,,All,2009-10,201004,3,603,606,6110,9.918166939,101.6122012
State,,Alabama,All,2009-10,201002,,,88,1020,8.62745098,110.4347871
State,,Kansas,All,2009-10,201018,,,28,424,6.603773585,89.92440002
State,,Virginia,All,2009-10,201015,,,97,1161,8.354866494,101.4096692
Region,9,,All,2009-10,201011,5,683,688,6448,10.66997519,107.2333017
State,,Rhode Island,All,2009-10,200947,,,11,141,7.80141844,77.91085025
National,,,65 years and older,2009-10,200948,26,3090,3116,34663,8.989412342,100.4760454
State,,Oklahoma,All,2009-10,201024,,,54,663,8.14479638,95.21999959
State,,California,All,2009-10,201012,,,537,4691,11.44745257,103.4563938
State,,Utah,All,2009-10,201010,,,34,319,10.65830721,111.7010404
State,,District of Columbia,All,2009-10,201039,,,3,97,3.092783505,108.6150549
State,,California,All,2009-10,200948,,,524,4684,11.18701964,103.3020142
State,,Michigan,All,2009-10,200950,,,132,1699,7.769276045,100.6271289
State,,Nevada,All,2009-10,201028,,,22,395,5.569620253,103.4212768
National,,,18-64 years,2009-10,200946,144,722,866,12373,6.999110967,97.78791286
State,,Kentucky,All,2009-10,200940,,,77,810,9.50617284,99.97637749
State,,Minnesota,All,2009-10,201001,,,67,811,8.261405672,108.5543928
State,,South Carolina,All,2009-10,201008,,,73,832,8.774038462,104.3657796
State,,Utah,All,2009-10,201007,,,30,289,10.38062284,101.1962404
